56,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
89,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
90,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
91,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
92,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
93,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
94,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
95,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
96,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
97,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
98,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
99,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
100,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
101,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
102,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
103,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
104,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
105,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
106,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
107,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
108,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
109,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
110,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
111,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
112,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
113,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
114,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
115,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
116,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
117,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
118,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
119,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
120,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
121,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
122,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
123,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
124,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
125,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
126,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
127,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
128,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
129,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
130,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
131,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
132,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
133,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
134,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
135,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
136,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
137,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
138,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
139,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
140,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
141,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
142,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
143,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
144,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
145,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
147,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
148,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
149,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
150,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
151,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
152,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
153,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
154,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
155,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
156,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
157,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
158,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
159,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
160,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
161,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
162,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
163,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
164,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
165,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
166,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
167,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
168,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
169,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
170,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
171,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
172,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
173,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
174,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
175,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
176,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
177,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
178,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
179,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
180,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
181,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
182,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
183,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
184,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
185,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
186,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
187,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
188,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
189,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
190,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
191,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
192,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
193,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
194,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
195,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
196,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
197,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
198,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
199,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
200,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
201,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
202,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
203,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
204,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
205,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
206,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
207,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
208,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
209,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
210,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
211,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
212,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
213,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
214,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
215,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
216,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
217,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
218,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
219,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
220,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
221,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
222,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
223,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
224,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
225,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
226,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
227,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
228,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
229,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
230,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
231,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
232,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
233,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
234,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
235,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
236,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
237,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
238,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
239,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
240,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
241,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
242,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
243,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
244,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
245,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
246,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
247,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
248,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
249,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
250,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
251,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
252,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
253,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
254,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
255,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
256,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
257,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
258,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
259,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
260,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
261,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
262,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
263,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
264,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
265,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
266,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
267,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
268,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
269,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
270,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
271,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
272,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
273,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
274,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
275,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
276,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
277,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
278,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
279,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
280,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
281,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
282,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
283,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
284,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
285,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
286,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
287,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
288,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
289,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
290,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
291,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
292,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
293,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
294,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
295,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
296,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
297,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
298,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
299,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
300,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
301,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
302,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
303,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
304,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
305,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
306,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
307,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
308,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
309,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
310,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
311,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
312,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
313,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
314,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
315,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
316,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
317,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
318,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
319,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
320,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
321,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
322,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
323,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
324,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
325,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
326,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
327,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
328,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
329,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
330,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
331,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
332,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
333,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
334,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
335,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
336,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
337,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
338,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
339,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
340,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
341,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
342,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
343,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
344,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
345,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
346,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
347,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
348,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
